"","x"
"603","9930111J21Rik1"
"604","9930111J21Rik2"
"605","A030003K02Rik"
"606","A030009H04Rik"
"607","A130010J15Rik"
"608","A130014A01Rik"
"609","A130049A11Rik"
"610","A130050O07Rik"
"611","A130051J06Rik"
"612","A230005M16Rik"
"613","A230006K03Rik"
"614","A230046K03Rik"
"615","A230050P20Rik"
"616","A230056P14Rik"
"617","A230059L01Rik"
"618","A230072C01Rik"
"619","A230083G16Rik"
"620","A230087F16Rik"
"621","A230103J11Rik"
"622","A230107N01Rik"
"623","A330009N23Rik"
"624","A330021E22Rik"
"625","A330023F24Rik"
"626","A330033J07Rik"
"627","A330040F15Rik"
"628","A330050F15Rik"
"629","A330076H08Rik"
"630","A330102I10Rik"
"631","A430005L14Rik"
"632","A430018G15Rik"
"633","A430033K04Rik"
"634","A430035B10Rik"
"635","A430046D13Rik"
"636","A430071A18Rik"
"637","A430078G23Rik"
"638","A430104N18Rik"
"639","A430105I19Rik"
"640","A430106G13Rik"
"641","A430108G06Rik"
"642","A4galt"
"643","A530013C23Rik"
"644","A530017D24Rik"
"645","A530020G20Rik"
"646","A530032D15Rik"
"647","A530040E14Rik"
"648","A530054K11Rik"
"649","A530064D06Rik"
"650","A530088E08Rik"
"651","A530099J19Rik"
"652","A630001G21Rik"
"653","A630007B06Rik"
"654","A630010A05Rik"
"655","A630033H20Rik"
"656","A630052C17Rik"
"657","A630072L19Rik"
"658","A730011C13Rik"
"659","A730017L22Rik"
"660","A730020E08Rik"
"661","A730046J19Rik"
"662","A730071L15Rik"
"663","A730081D07Rik"
"664","A830005F24Rik"
"665","A830009L08Rik"
"666","A830010M20Rik"
"667","A830018L16Rik"
"668","A830073O21Rik"
"669","A830080D01Rik"
"670","A830082K12Rik"
"671","A930001A20Rik"
"672","A930003A15Rik"
"673","A930005H10Rik"
"674","A930006K02Rik"
"675","A930011G23Rik"
"676","A930015D03Rik"
"677","A930024E05Rik"
"678","A930024N18Rik"
"679","A930029G22Rik"
"680","AA386476"
"681","AA415398"
"682","AA465934"
"683","AA467197"
"684","AA543186"
"685","AA986860"
"686","AA987161"
"687","AB041803"
"688","AB124611"
"689","AC091763.1"
"690","AC102758.1"
"691","AC120404.1"
"692","AC121131.2"
"693","AC122290.1"
"694","AC123611.1"
"695","AC167036.1"
"696","ACEA_U3"
"697","AF067061"
"698","AF251705"
"699","AI118078"
"700","AI314180"
"701","AI317395"
"702","AI413582"
"703","AI429214"
"704","AI462493"
"705","AI464131"
"706","AI467606"
"707","AI480526"
"708","AI504432"
"709","AI593442"
"710","AI597468"
"711","AI597479"
"712","AI606181"
"713","AI607873"
"714","AI661453"
"715","AI662270"
"716","AI836003"
"717","AI837181"
"718","AI838599"
"719","AI854703"
"720","AI987944"
"721","AK010878"
"722","AK129341"
"723","AK157302"
"724","ATF7"
"725","AU019823"
"726","AU020206"
"727","AU021092"
"728","AU022252"
"729","AU023871"
"730","AU040320"
"731","AU040972"
"732","AU041133"
"733","AW011738"
"734","AW112010"
"735","AW146154"
"736","AW209491"
"737","AW549877"
"738","AW554918"
"739","AY702102"
"740","Aaas"
"741","Aacs"
"742","Aaed1"
"743","Aagab"
"744","Aak1"
"745","Aamdc"
"746","Aamp"
"747","Aar2"
"748","Aard"
"749","Aars"
"750","Aars2"
"751","Aarsd1"
"752","Aasdh"
"753","Aasdhppt"
"754","Aass"
"755","Aatf"
"756","Aatk"
"757","Abat"
"758","Abca1"
"759","Abca2"
"760","Abca3"
"761","Abca5"
"762","Abca7"
"763","Abca8a"
"764","Abca9"
"765","Abcb10"
"766","Abcb1a"
"767","Abcb1b"
"768","Abcb4"
"769","Abcb6"
"770","Abcb7"
"771","Abcb8"
"772","Abcb9"
"773","Abcc1"
"774","Abcc3"
"775","Abcc4"
"776","Abcc5"
"777","Abcc6"
"778","Abcd1"
"779","Abcd2"
"780","Abcd3"
